Sample Name,Plate,Column,Row,Species,Lat,Long,Location,Precipitation,Radiation,AverageTemperature,MaxTemperature,VapourPressure,AverageWindSpeed,Year,BGI pot,RLV,LMV,MV1,MV2,SBPV,ABPV,
B153,6,6,B,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P13,0,0,0,0,1,0,
B204,6,6,C,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P19,0,0,0,0,1,0,
B220,6,6,E,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P20,0,0,0,0,1,1,
B211,6,6,F,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P19,0,0,0,0,1,1,
M319,6,6,G,cryptarum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,C2,0,0,0,0,0,0,
M079,6,6,H,hortorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,H9,0,0,0,0,1,0,
M299,6,7,A,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P08,0,0,0,0,1,1,
M072,6,7,B,pascuorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,P03,0,0,0,0,1,0,
M287,6,7,E,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,1,0,
M257,6,7,F,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P04,0,0,0,0,1,0,
M255,6,7,G,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P04,0,0,0,0,1,1,
M290,6,8,A,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P02,0,0,0,0,1,0,
M272,6,8,B,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P05,0,0,0,0,0,0,
M282,6,8,C,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,1,0,
M253,6,8,E,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P05,0,0,0,0,0,0,
M271,6,8,F,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P05,0,0,0,0,1,0,
M285,6,8,G,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P09,0,0,0,0,1,1,
M286,6,8,H,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,0,0,
M380,6,9,B,pascuorum,56.149,-3.916,Stirling,-6.45075295075293,-160.133129833132,0.934595032246767,1.19472747132403,0.029583453702694,-1.01745624682939,2009,P01,0,0,0,0,1,0,
M087,6,9,C,pascuorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,P03,0,0,0,0,1,0,
M294,6,9,D,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P08,0,0,0,0,1,0,
M260,6,9,E,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P05,0,0,0,0,1,0,
M382,6,9,F,pascuorum,56.149,-3.916,Stirling,-6.45075295075293,-160.133129833132,0.934595032246767,1.19472747132403,0.029583453702694,-1.01745624682939,2009,P01,0,0,0,0,1,0,
M283,6,9,G,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,1,0,
M279,6,10,A,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,1,0,
M281,6,10,B,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,1,1,
M273,6,10,C,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P05,0,0,0,0,1,0,
M297,6,10,D,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P08,0,0,0,0,1,1,
M278,6,10,E,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,0,1,
M069,6,10,F,pascuorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,P03,0,0,0,0,1,0,
M284,6,10,H,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,1,0,
M280,6,11,A,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P06,0,0,0,0,0,0,
M383,6,11,B,pascuorum,56.149,-3.916,Stirling,-6.45075295075293,-160.133129833132,0.934595032246767,1.19472747132403,0.029583453702694,-1.01745624682939,2009,P01,0,0,0,0,1,0,
M298,6,11,C,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P08,0,0,0,0,1,1,
M099,6,11,D,pascuorum,55.796,-3.404,Pentlands,6.08258038258037,-387.133129833132,-0.792071672566934,-0.605272910145667,-0.047749925089117,0.875877124650911,2009,P03,0,0,0,0,1,0,
M364,6,11,E,pascuorum,56.149,-3.916,Stirling,-6.45075295075293,-160.133129833132,0.934595032246767,1.19472747132403,0.029583453702694,-1.01745624682939,2009,P07,0,0,0,0,1,0,
M094,6,11,H,pascuorum,55.796,-3.404,Pentlands,6.08258038258037,-387.133129833132,-0.792071672566934,-0.605272910145667,-0.047749925089117,0.875877124650911,2009,P03,0,0,0,0,1,0,
M256,6,12,B,pascuorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,P04,0,0,0,0,1,0,
M145,6,3,D,lucorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,L15,1,1,0,0,0,0,
M067,6,4,H,hortorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,H9,1,0,0,0,1,0,
M173,6,6,A,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J4,1,1,0,0,1,0,
B161,6,1,B,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P14,0,0,1,0,1,0,
B157,6,1,F,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P13,0,0,1,0,1,0,
B145,6,2,C,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P12,0,0,1,0,1,0,
B165,6,2,D,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P14,0,0,1,0,1,0,
B170,6,2,F,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P11,0,0,0,0,1,0,
B226,6,3,B,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P21,0,0,1,0,1,1,
B156,6,3,G,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P13,0,0,1,0,1,0,
B201,6,2,G,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P18,0,0,0,1,1,0,
B144,6,3,C,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P12,0,0,0,1,1,0,
B233,6,3,E,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P21,0,0,0,1,1,1,
B143,6,4,G,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P12,0,0,0,1,1,1,
M206,6,5,B,monticola,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,M,0,0,0,1,1,1,
B210,6,6,D,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P19,0,0,0,0,1,1,
